sentence,sentiment
asia to test bond record again in 2015,0
industry investment is very interested in glaston s solar energy projects,1
while the company did not indicate the level of investment in the unit it said that has purchased the equipment of nokia corporation s mobile phone r d laboratory in jyvaeskylae,0
the company also said on november 16 2006 its real estate fund i ky signed an agreement with finnish window maker fenestra oy to build a window plant in forssa southern finland,1
utilise each opportunity to buy into it companies arindam ghosh,1
jon risfelt has previously held operational executive positions in europolitan ericsson sas american express card and travel divisions as well as nyman schultz ceo vodafone sweden ceo and gambro renal products ceo,0
pm modi s assurances fail to help as rubber prices plunge to 8 year low traders blame china,2
the expanded plant is scheduled to be operational by the middle of october 2009,0
kotak mahindra bank can be bought ashwani gujral market strategist,1
upm kymmene has generated four consecutive quarters of positive free cash flow,1
rpg life q1 net profit soars over 19 fold to rs 55 crore,1
gold s allure dims,2
the company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was eur 67 1 million,1
china data pushes brent to 106 55 per barrel,1
rallis india drops on poor q2 numbers mcap drops below rs 4 000 crore mark,2
there is jitteriness in the market ashwani gujral,2
5 global brokerages slash sun pharma targets,2
sfio files prosecutions against 8 companies,0
copper market may get a 2003 style supply shock from glencore closures,2
turnover surged to eur61 8 m from eur47 6 m due to increasing service demand especially in the third quarter and the overall growth of its business,1
onion prices may retreat in october on high supplies,2
spy bull move ended waiting for next setup,2
consider mahindra satyam for short and medium term deepak mohoni,1
bhusan steel surges 14 as asset sale fetches rs 3 000 crore,1
swiss cement maker holcim appoints bernard terver as new area manager for india,0
india cements net loss at rs 31 crore hit by slump in demand,0
berger paints logs 35 increase in q1 net profit,1
eros international at 10 premium sees high of rs 213 95,1
firm demand tight arrivals lift cardamom futures by 0 85,1
adp news feb 4 2009 finnish broadband data communication systems and solutions company teleste oyj hel tlt1v said today its net profit decreased to eur 5 5 million usd 7 2 m for 2008 from eur 9 4 million for 200,2
consumer goods stocks gain falling inflation helps,1
oriental bank of commerce shares down nearly 5 as bad loans rise,2
bone earnings stocks poised to pop,1
tesco abandons video streaming ambitions in blinkbox sale,2
net sales increased to eur655m in april to june 2010 from eur438m a year earlier,1
revise tata consultancy services target to rs 1152 kotak,0
tesco s sales pickup isn t enough,2
exim bank net down a tad at rs 710 crore pays rs 339 crore to government,2
cnx it going through a correction ashwani gujral,1
jp morgan fund to help domestic investors to invest in us market,0
wary of amtek group stocks due to lack of clarity neeraj dewan,2
gur settles quiet in thin trade,0
daimler india commercial vehicles announces top management rejig,0
the shares shall be repurchased through public trading for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders,0
dollar sits tight near six month high ahead of fed meeting data,1
be tactful on it stocks deven choksey,0
market cue here are 3 changes goldman sachs expects from the fed on wednesday,0
dcm shriram q4 net marginally up at rs 82 80 crore,1
raymond s q2 fy 11 pat zooms 427 pc at rs 39 cr,1
earnings per share eps dropped to eur 0 21 from eur 0 31,2
r k tewari takes charge as new cbdt chairman,0
sec director with big stock holdings stirs debate,0
bharati shipyard declared 30 dividend,2
sbi bonds revive grey market draw criticism from investors,2
balrampur chini reports net loss of rs 9 77 crore in q1,0
chennai petroleum corporation ltd reports rs 510 11 crore q1 net profit,0
dhaniya futures contract under regulatory glare,2
following the registration the number of issued and outstanding shares of basware is 12 890 829,0
an additional amount capped at eur12m is payable in cash upon the achievement of certain financial performance targets in 2007,0
the acquisition is part of ramirent s central and eastern european growth strategy,0
nhpc shares surge nearly 3 as september quarter net jumps,1
through the new production lines at the novator mill in veliky ustjug vologda oblast sveza will change its current 1 5 m by 1 5 m birch plywood production targeting the domestic market to produce 1 5 m by 3 0 m overlaid birch plywood for the global market,0
refined soya oil futures gain 1 02 per cent on strong spot demand,1
operating profit for the quarter april june 2006 amounted to eur42 9 m on net sales of eur156 3 m,0
gold treads water below 1 300 ahead of fed statement economic data,2
dcm shriram falls after hitting record high,2
momentum broken more pullback seen in the banking stocks mitesh thacker,2
microsoft is tuning its phones for india coverage,0
info edge economic turnaround improved hiring to be immediate trigger,0
arun jaitley hopes passage of amended insurance bill in winter session max india surges 10,1
aegn macd and adx are crossing over the signal lines long setup,1
shemaroo entertainment rs 120 crore ipo to open on september 16,0
stay with quality stocks deven choksey,0
edelweiss is a good bet in broking stocks nitin raheja,1
sterling hits 2 month low caution ahead of boe inflation report,2
earnings outlook strong keep on buying eicher motors hemindra hazari,1
fm p chidambaram seeking to empower sebi against ponzi schemes,0
the company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive,1
russia central bank makes 17 66 billion roubles worth of forex interventions on october 7,1
pantaloons reports loss of rs 15 66 crore in q3,0
silver rises rs 166 per kg in futures trade,1
as a condition to the deal savcor alfa has to have bought photonium and akseli lahtinen inc s business operations prior to the deal,0
26 january 2011 finnish metal products company componenta oyj hel cth1v said yesterday its net loss narrowed to eur500 000 in the last quarter of 2010 from eur5 3 m for the same period a year earlier,1
margin pressure could impact construction cos earnings avinash gorakshekar,2
ultratech q4 net down 16 27 pc at rs 726 20 crore,2
bajaj finserv pretty attractive hemang jani,1
drug pricing policy negative for pharma cos brokerages,2
tvs motors surges 6 as october sales jump 14 yoy,1
australia shares dip to 2 week lows on banks miners,2
city union bank networth crosses rs 1 000 cr in fy 11,1
equity markets likely to shine as rupee s depreciation slows,1
cabinet to take up psu etf proposal on wednesday,0
the lemminkainen group headquartered in helsinki finland operates in all sectors of the construction industry civil engineering building contracting technical building services and the building materials industry,0
jain irrigation shares rally over 4 on plans to sell wind power business,1
glaxosmithkline consumer q3 net up 20 89 at rs 96 41 crore,1
1 april 2011 finnish machinery rental company ramirent oyj hel rmr1v said today it has acquired the assets of sector player stavebni doprava a mechanizace sdm in the czech republic for an undisclosed sum,0
bofa ml s three positives for indian markets recommends buy on dips,0
tokyo stocks close up 2 11 rides on upbeat china data,1
midcap space to benefit from new government initiatives go for individual midcap names david pezarkar,1
mcx sx ongoing rights issue may face turbulence,0
sagging demand may lower natural gas prices,2
analyst says apple will hit 1tn m cap,1
maharashtra dairies to up milk prices by rs 3,1
axis bank q1 net rises 18 per cent in first quarter,1
the total value of these two contracts is over eur 21 million,0
supported nokia phones include n96 n95 8gb n95 n93 n931 n92 n85 n82 n81 n80 n79 n78 n77 n76 n75 n73 n72 n71 e90 e71 e70 e66 e65 e62 e61 e61i e60 e51 e50 touch xpress 5800 6220 classic 6210 navigator 6120 classic 6110 navigator 5700 5500 5320xm,0
nifty might retest earlier high of 7800 mitesh thacker,0
goodyear india fy10 net up 2 35 pc to rs 74 81 cr,1
arm profits and sales up as shift away from mobile gains pace,1
china yuan pinned steady by central bank guidance,0
parabolic drugs ipo opens on june 14,0
won t recommend sail sandeep wagle aptart,2
the new name of the sanoma division will be sanoma news,0
the total scope of the project is about 38 000 square metres and it is valued at a total of around eur75m,0
hong kong main share index ends lower in weak volumes,2
bbry bye bye sammy hello bb sounds like we ll see some green tomorrow,1
the ebrd is using its own funds to provide a 21 6 mln a loan while the b portion of 10 mln euros has been syndicated to two finnish commercial banks nordea bank finland plc 7 7 mln euros and pohjola bank plc 2 3 mln euros,0
development credit bank rise in interest income brings in turnaround q1 performance,1
put oi around 6000 shows support zone,0
mirc electronics q4 net up 87 pc at rs 9 7 cr,1
money to flow back in the markets towards mid 2011 girish pai centrum broking,0
glaston s own glass processing unit tamglass glass processing is a manufacturer of high quality safety glass products operating in finland,0
tech mahindra rallies over 4 post q2 results top nifty gainer,1
invest in sharda chropchem from a long term perspective sudip bandyopadhyay,1
worried about fii outflow inflows should resume soon,0
cautious on abb gaurav mehta,2
copper futures fall 0 93 on global cues weak demand,2
psu bank stocks might be great contrarian buys next year nitin jain,1
tesco leads leap in ftse 100 marks spencer drops,1
potato futures gain 1 64 per cent on spot demand,1
seeing broader participation in market nifty may revisit 8 050 ashwani gujral,0
eurex exchange says currently experiencing technical issues,0
a coker crane will be supplied to tesoro corporation s golden eagle refinery in martinez california while a similar crane will be delivered to bp s castell refinery in spain,0
brewer ab inbev seeks 275 bln tie up with sabmiller,1
fmc asks nsel to file recovery suits against all defaulters,0
bond yields steady ahead of rbi policy review,0
hindalco posts smaller than expected profit on weak prices,2
on top of that the us commerce department published worse than expected construction spending figures for november,2
nine blue chip companies add rs 1 14 806 cr in m cap itc top gainer,1
according to deputy md pekka silvennoinen the aim is double turnover over the next three years,1
jain irrigation head lower to 81 82 levels ashwani gujral,2
oil steadies around 107 after iran talks extended,0
the new company diapol s r l would manufacture tools meant for glass and stone pre processing,0
locked in some fb puts for nice gain,2
expect a 3 4 dip in bank nifty before fresh levels breakout mitesh thacker,2
call for minimum farmgate price for pusa 1121 rice,2
tata motor board to decide on new managing director in few days,0
dollar starts week under pressure markets eye jackson hole,2
london stock exchange welcomes arun jaitley reforms agenda,0
iifcl net profit up 47 per cent at rs 1 000 crore in 2012 13,1
the statutory negotiations at headquarters are part of this decrease,0
german classifieds group scout24 says to list shares this year,0
up sugar output drop by 10 sends ominous signals,2
clariant chemicals slips buyback value lower than market price,2
select grains down on reduced offtake,2
adpnews feb 5 2010 finnish real estate investor sponda oyj hel sda1v said today that it slipped to a net loss of eur 81 5 million usd 11 8 m in 2009 from a profit of eur 29 3 million in 2008,2
great eastern shipping can touch rs 306 ashwani gujral,1
carborundum universal ltd q2 net falls 47 2 per cent,2
sc dismisses sebi s plea for insider trading charges against samir arora,0
avoid metals until clarity on coal block allocation analysts,2
eveready industries q2 net down 22 per cent at rs 13 80 crore,2
ahlstrom s 5 800 employees serve customers via sales offices and production facilities in more than 20 countries on six continents,0
sh kelkar ipo subscribed 47 on day 2,1
what s behind the china s yuan devaluation,2
central bank should resume fx purchases if dollar falls below 60 to rouble kremlin aide,2
seven expensive stocks that are still outpacing sensex,0
ipca to give good returns on us and domestic trade traction manish sonthalia,1
shoppers stop can see some correction ashwani gujral,1
lodha group relaunches 350 million overseas bond sale plan,0
sensex life high outshines global peers post qe era,1
both operating profit and turnover for the six month period increased respectively from eur17 6 m and eur1149 9 m as compared to the corresponding period in 2007,1
vote on account 2014 jewellery stocks plunge as much as 5 as no duty cut disappoints,2
rupee rises 12 paise against dollar in early trade,1
the new chain has 700 discount stores and 250 supermarkets,0
wonderla holidays surges 28 per cent on debut,1
in 2008 stockmann earned 3 398 million lats in profit on 48 012 million lats in turnover,0
sebi notifies one time registration system for brokers,0
suven life sciences q2 net profit up 7 fold at rs 45 54 crore,1
stable demand for housing loan to drive hdfc growth,1
561 470 new shares under 2003 option rights plan packaging company huhtamaki oyj reported on monday that a total of 561 470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan,0
production facilities 6 july 2010 finnish investment group neomarkka oyj hel nembv said today that it will buy the former production facilities of kuitu finland ltd as part of negotiations on the option to invest in specialty cellulose fiber business,0
the trade is in accordance with the agreement announced on 26 march 2008,0
currency markets likely to be choppy,2
stay away from adag basket ashwani gujral market strategist,2
f o tracker markets likely to shift to a lower range,2
gsfc q3 profit dips 26 on sluggish sales,2
operating loss landed at eur39m including one offs and at eur27m excluding one offs,0
